FreqGoProvider,Deaf,MedConditions_Diabetes,MedConditions_HighBP,MedConditions_LungDisease,MedConditions_Depression,AverageSleepNight,AverageTimeSitting,EverHadCancer,Age,BirthGender,BMI,PHQ4,WeeklyMinutesModerateExercise,AvgDrinksPerWeek,GeneralHealth_Excellent,GeneralHealth_VeryGood,GeneralHealth_Good,GeneralHealth_Fair,GeneralHealth_Poor,smokeStat_Current,smokeStat_Former,smokeStat_Never,eCigUse_Current,eCigUse_Former,eCigUse_Never
-0.20609975,-0.003960493,0.017288724,-0.19555032,-0.07911443,-0.030992532,-0.22117028,-0.046067614,0.031099332,-0.90782946,-0.0007682006,-0.01315169,-0.14158215,-0.343973,0.036707163,0.086131,-1.5722958,0.33813593,0.28744057,0.044445604,-1.7918452,0.58498275,0.8383909,0.018310575,0.030430606,-0.058781683
0.02794118,0.015670594,-0.15348655,-0.11283466,-0.008513656,0.05164266,0.0064958804,0.15196118,0.05402486,0.08084367,-0.050193343,0.015437725,0.059306934,-0.52451855,-0.040738165,0.13322534,0.22581083,-1.5270817,0.28072757,0.045732092,0.24386317,0.31284636,-1.7602316,0.008855977,0.029746374,-0.038278513
-0.37759566,0.01346415,0.028614951,-0.15667589,-0.0063044126,0.011580387,-0.037884668,-0.4165192,0.044124745,0.33169457,0.027022267,0.04231915,-0.14222462,0.11189745,0.112769805,0.12901463,-1.581517,0.40371644,0.31615508,0.04945849,0.22967546,0.37221757,-1.5300391,0.008189364,0.028835302,-0.035552956
0.12260913,0.008442402,0.012415681,-0.16837615,-0.010739517,0.036459588,0.0666467,-0.27483433,0.028081235,-0.74167573,0.03900792,-0.12510176,0.0814016,-0.05994724,0.18927176,0.11804555,-1.6878105,0.33958817,0.30270877,0.048101358,0.22302034,0.3513205,-1.773767,0.009313163,0.024461083,-0.041243754
0.032786842,0.013443159,0.062300004,0.14800675,-0.0051505314,0.07993512,-0.05746634,0.27434322,0.045693964,-0.4613515,0.05539508,0.08481935,-0.12496322,-0.3546666,0.124487735,0.10313377,0.29633,-1.1574942,0.25529703,0.04182104,0.28191125,-1.1532265,0.76802367,0.0102923205,0.037721884,-0.054182544
-0.0063032643,0.005933377,0.002880665,-0.23740117,0.19029282,-0.026921686,-0.11657502,-0.18220767,0.017101893,-1.0365335,0.008154714,0.06639641,0.16366431,0.021992212,-0.039856188,0.10695916,-1.6073357,0.33474597,0.26663053,0.053220488,0.18886065,0.38590854,-1.8539158,0.009114326,0.02074929,-0.041869
-0.19663627,0.0177043,0.07222531,0.11537686,0.0016375197,0.04916266,0.03161168,0.11790803,0.065989174,0.44161096,-0.078476675,-0.015584969,-0.09342647,0.04805404,-0.063452385,0.14725484,0.44367936,-1.3266038,0.28255638,0.04513711,0.21682665,0.2947386,-1.6140757,0.008184157,0.018219272,-0.04970299
0.050824616,0.005680076,0.014012825,-0.18071371,-0.04722252,-0.0033209107,-0.091111,-0.2064,0.024895858,-1.3475418,0.019196969,-0.19361249,0.09057801,-0.041190796,-0.075558476,0.11842533,0.2944278,-1.4179553,0.26870403,0.045440655,0.2037225,0.36803135,-1.9394815,0.009617579,0.025660114,-0.05710882
-0.12403897,0.004520855,0.0073534455,-0.21986578,-0.033996545,-0.056668825,-0.13993455,-0.1144953,0.017280567,-0.7055809,-0.13565888,-0.056675866,0.040208694,0.0077051017,0.18729563,-2.1015484,0.27489042,0.323344,0.36480185,0.06407914,0.20819266,0.3729713,-1.8155272,0.0090135,0.024703663,-0.041659847
-0.15283464,0.009246687,0.013513495,-0.2601685,-0.057529874,0.002081904,0.108909264,0.19733812,0.017479207,-0.92272985,0.04390392,-0.059194278,0.010574881,-0.08891999,-0.06959284,0.1831421,0.43391603,0.45870227,-1.0520856,0.041626573,0.21918729,0.35040823,-1.7029657,0.008913735,0.02471175,-0.07242939
-0.0028071802,-0.1659987,-0.047148604,0.29882726,0.012447153,0.02324094,0.132622,-0.058949348,0.027721332,-0.6530397,-0.020025631,0.12678722,-0.08040425,0.011417226,-0.04752568,0.12078623,0.31519836,-1.4070091,0.2754901,0.043767933,0.20631269,0.340103,-1.7122422,0.00908422,0.026732627,-0.050077353
0.4151636,0.016111698,0.03537429,0.22353025,-0.00259486,-0.19017008,-0.050699938,0.034850016,0.07026942,0.6124226,0.0719687,0.21053384,-0.039949175,0.050270252,-0.05642771,0.11658329,-1.5142471,0.34118658,0.29835758,0.04734881,0.21998668,0.29294312,-1.5258156,0.007700744,0.01579793,-0.033511057
0.14905347,-0.06441611,-0.08628333,0.09170272,0.061803684,-0.14615616,-0.1869108,-0.033672057,0.030697962,-0.13805339,-0.028510217,0.20511225,0.2005336,0.14151911,0.016873555,0.088812105,0.2410509,-1.1733695,0.20303416,0.04147338,0.16526496,-1.1954957,0.76266724,0.026418028,-0.5410387,0.2327684
0.14513722,-0.07484961,-0.18832393,0.069293916,0.0010875331,-0.3896333,0.1730893,0.12012821,-0.18835013,-0.24504666,-0.03711577,0.08136665,0.0077801757,0.05037683,-0.113391854,0.08776299,0.23746356,-1.2232026,0.25636756,0.04182259,0.24539539,-1.2529732,0.51982397,0.010193929,0.028380815,-0.07656536
0.13523263,0.009842728,0.014831885,0.110974714,-0.005817204,-0.02771268,-0.051285457,0.047102313,-0.22091474,-0.024361234,-0.022886768,0.003472135,-0.07029525,0.05500834,-0.034701128,-2.6770153,0.27889788,0.2260211,0.3481389,0.06443516,0.21619561,0.3200091,-1.6059126,0.007818665,0.02105633,-0.030438945
0.116871625,0.00017959294,0.0075209965,-0.14192827,-0.009161718,0.04576224,0.11024987,-0.08746222,0.021224359,-0.5861376,0.04928242,-0.16021356,0.017542131,0.08250456,-0.04062317,-1.9975327,0.34295478,0.3881294,0.3410492,0.057470173,0.19957241,0.37033272,-1.7449336,0.009113319,0.02321141,-0.048788916
-0.04745623,1.5997794e-06,0.0042202394,0.21263185,-0.034370925,-0.1978824,0.27220032,-0.04856265,0.020183088,-0.7852214,0.015558513,-0.16159514,-0.004424049,0.031154756,-0.06541529,0.10744745,0.2874074,-1.5609895,0.2890042,0.046081405,0.21496373,0.35291106,-1.6704732,0.009057332,0.029091218,-0.056065924
0.12837066,0.007384738,0.012739741,-0.1488953,-0.016312698,0.023851749,0.07972087,0.096932724,0.030205982,-0.8834469,0.03311418,-0.2971943,0.05251446,0.2805356,0.35473838,0.12251772,-1.6482462,0.3553992,0.3005458,0.04469557,0.23431094,0.36905092,-1.6566219,0.008784164,0.022835976,-0.037531804
-0.07550969,-0.054369744,0.024109717,-0.10767623,-0.024709072,0.029936649,-0.22090042,0.029705724,0.030836072,-0.54947865,-0.025224306,-0.6537211,0.15100753,-0.26638493,-0.02590241,0.0980324,0.2757867,-1.1266801,0.2291192,0.039742887,0.22171709,-1.4610668,0.60049826,0.023068774,-0.5432499,0.21744366
-0.106200285,0.0067852135,0.007998014,-0.27330846,-0.027451428,0.0042517497,-0.12330529,0.012107558,0.019200476,-1.1454277,0.028053753,-0.09680451,0.069907084,-0.12854011,0.021639299,0.121366665,-1.7523293,0.3096431,0.29756543,0.048483357,0.23096207,0.3613159,-1.7777323,-0.34400392,0.05104285,0.1764692
-0.22709598,0.0023884005,0.031433932,0.14361669,-0.21673658,0.013927407,0.08367529,0.06257595,0.051112566,0.28266385,0.0050057857,0.116498016,0.040243156,0.15840584,0.13493481,0.11958244,0.24343517,0.38789526,-1.2167221,0.04121528,-1.5938387,0.21464029,0.7038835,0.0196718,0.027249426,-0.07450201
